Freq.	V(in_ard)
8.48919191919192e+03	(2.41853018398541e+00dB,9.83916061986429e+01°)
8.64060606060606e+03	(2.28417149213657e+00dB,9.74884812393133e+01°)
8.79202020202020e+03	(2.15003672990051e+00dB,9.65996289544434e+01°)
8.94343434343434e+03	(2.01614981851581e+00dB,9.57247447956894e+01°)
9.09484848484848e+03	(1.88253299114240e+00dB,9.48635311283988e+01°)
9.24626262626262e+03	(1.74920689887435e+00dB,9.40156972174417e+01°)
9.39767676767676e+03	(1.61619071054159e+00dB,9.31809591890476e+01°)
9.54909090909091e+03	(1.48350220656958e+00dB,9.23590399720689e+01°)
9.70050505050505e+03	(1.35115786717093e+00dB,9.15496692217380e+01°)
9.85191919191919e+03	(1.21917295514444e+00dB,9.07525832286505e+01°)
1.00033333333333e+04	(1.08756159355533e+00dB,8.99675248154085e+01°)
1.01547474747475e+04	(9.56336838566643e-01dB,8.91942432230859e+01°)
1.03061616161616e+04	(8.25510747686250e-01dB,8.84324939894245e+01°)
1.04575757575758e+04	(6.95094443686455e-01dB,8.76820388204496e+01°)
1.06089898989899e+04	(5.65098174445015e-01dB,8.69426454569863e+01°)
1.07604040404040e+04	(4.35531368947348e-01dB,8.62140875373783e+01°)
1.09118181818182e+04	(3.06402689679801e-01dB,8.54961444575425e+01°)
1.10632323232323e+04	(1.77720081633906e-01dB,8.47886012293493e+01°)
1.12146464646465e+04	(4.94908181313026e-02dB,8.40912483381822e+01°)
1.13660606060606e+04	(-7.82784563315143e-02dB,8.34038816004153e+01°)
1.15174747474747e+04	(-2.05581686029552e-01dB,8.27263020214422e+01°)
1.16688888888889e+04	(-3.32413366567976e-01dB,8.20583156547920e+01°)
1.18203030303030e+04	(-4.58768509884201e-01dB,8.13997334627934e+01°)
1.19717171717172e+04	(-5.84642611534128e-01dB,8.07503711791645e+01°)
1.21231313131313e+04	(-7.10031620112587e-01dB,8.01100491738501e+01°)
1.22745454545455e+04	(-8.34931908667158e-01dB,7.94785923203657e+01°)
1.24259595959596e+04	(-9.59340247972932e-01dB,7.88558298658580e+01°)
1.25773737373737e+04	(-1.08325378154426e+00dB,7.82415953040508e+01°)
1.27287878787879e+04	(-1.20667000226718e+00dB,7.76357262512019e+01°)
1.28802020202020e+04	(-1.32958673054367e+00dB,7.70380643251683e+01°)
1.30316161616162e+04	(-1.45200209384614e+00dB,7.64484550276433e+01°)
1.31830303030303e+04	(-1.57391450758694e+00dB,7.58667476296073e+01°)
1.33344444444444e+04	(-1.69532265721421e+00dB,7.52927950600117e+01°)
1.34858585858586e+04	(-1.81622548145106e+00dB,7.47264537976943e+01°)
1.36372727272727e+04	(-1.93662215660098e+00dB,7.41675837665138e+01°)
1.37886868686869e+04	(-2.05651208184732e+00dB,7.36160482336727e+01°)
1.39401010101010e+04	(-2.17589486547959e+00dB,7.30717137111891e+01°)
1.40915151515151e+04	(-2.29477031198432e+00dB,7.25344498604692e+01°)
1.42429292929293e+04	(-2.41313840994181e+00dB,7.20041293999228e+01°)
1.43943434343434e+04	(-2.53099932067494e+00dB,7.14806280155581e+01°)
1.45457575757576e+04	(-2.64835336759926e+00dB,7.09638242744903e+01°)
1.46971717171717e+04	(-2.76520102622754e+00dB,7.04535995412890e+01°)
